LocID,PC1,PC2,percent_Pop2020_500m,percent_URBAN_IMPERVIOUS_500m,percent_OPEN_WATER_500m,percent_ROW_CROPS_500m,percent_GRASSLAND_500m,percent_BARREN_SPARSELY_VEGETATED_500m,percent_EVERGREEN_WOODY_VEGETATION_500m,percent_DECIDUOUS_WOODY_VEGETATION_500m,X,Y
140,3.489501951,0.108757413,0.003854089,0.704502844,0,0,0.094824854,0.002261796,0.000509127,0.19790138,-90.27449471,38.58231421
142,0.205648329,1.152217988,0.004438612,0.298425674,0.001345458,0,0.237312342,0,0.024312442,0.438604084,-90.31761818,38.64192036
143,-0.18941945,0.300410362,0.00170572,0.348146366,0,0,0.190582389,0.001985764,0.00882901,0.450456471,-90.33126769,38.67978154
144,-0.649365099,0.494244693,0.00136334,0.344185312,0,0,0.187599848,0.000981452,0.017186225,0.450047163,-90.37642377,38.60684184
145,-0.049559911,-1.32396358,0.001372476,0.378290186,0.012533071,0,0.363487056,0.000782999,0.001383934,0.243522755,-90.5620463,38.73893196
146,-1.492645313,0.086528287,0.001197879,0.188848648,0.004177938,0,0.275477847,0.00135191,0.007594631,0.522549026,-90.39611043,38.71714815
147,1.349035051,0.031852344,0.002175277,0.514993375,0.015737348,0,0.143586114,0.001286837,0.003408656,0.32098767,-90.27177127,38.56639396
148,-0.160354038,0.115447504,0.000915455,0.412188917,0,0,0.186147985,0,0.009595086,0.392068011,-90.59120032,38.58816298
149,-1.477510722,0.800620269,0.002045638,0.212060226,0,0,0.253590368,0,0.024061387,0.510288019,-90.37157668,38.60174158
15,0.274778305,0.37517798,0.001267809,0.454334037,0.003872165,0,0.130217781,0.001234714,0.011240989,0.399100314,-90.34028846,38.61802351
150,-0.790387212,0.296923944,0.001855899,0.321591185,0,0,0.236128172,0.002325602,0.022474456,0.417480585,-90.3723194,38.60441239
